96																			
LV	STR	Dex	CON	WIS	INT	CHA	기본 HP	기본 MP	기본 SP	기본 AC	기본 AR	기본 DR	FIRE	WATER	EARTH	AIR	MAGIC	최소 데미지	최대 데미지
88 	280.00 	374.00 	234.00 	96.00 	132.00 	54.00 	1872 	517 	2014 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
89 	284.00 	380.00 	237.00 	97.00 	134.00 	54.00 	1896 	522 	2046 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
90 	289.00 	386.00 	241.00 	99.00 	136.00 	55.00 	1928 	533 	2078 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
91 	293.00 	392.00 	245.00 	100.00 	138.00 	55.00 	1960 	538 	2111 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
92 	298.00 	398.00 	249.00 	101.00 	140.00 	56.00 	1992 	544 	2143 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
93 	303.00 	405.00 	253.00 	103.00 	142.00 	56.00 	2024 	555 	2181 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
94 	307.00 	411.00 	257.00 	104.00 	144.00 	57.00 	2056 	560 	2213 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
95 	312.00 	417.00 	260.00 	106.00 	146.00 	57.00 	2080 	571 	2245 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
96 	317.00 	423.00 	264.00 	107.00 	148.00 	58.00 	2112 	576 	2278 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
97 	321.00 	429.00 	268.00 	109.00 	151.00 	58.00 	2144 	587 	2310 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
98 	326.00 	436.00 	272.00 	110.00 	153.00 	59.00 	2176 	592 	2348 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
99 	331.00 	442.00 	276.00 	112.00 	155.00 	59.00 	2208 	603 	2380 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
100 	335.00 	448.00 	280.00 	114.00 	157.00 	60.00 	2240 	614 	2412 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
6																			
LV	STR	Dex	CON	WIS	INT	CHA	기본 HP	기본 MP	기본 SP	기본 AC	기본 AR	기본 DR	FIRE	WATER	EARTH	AIR	MAGIC	최소 데미지	최대 데미지
1 	8.00 	7.00 	10.00 	15.00 	16.00 	10.00 	80 	81 	38 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
2 	9.00 	8.00 	11.00 	16.00 	16.00 	11.00 	88 	86 	43 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
3 	10.00 	9.00 	11.00 	17.00 	18.00 	11.00 	88 	92 	48 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
4 	11.00 	9.00 	12.00 	18.00 	19.00 	12.00 	96 	97 	48 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
5 	12.00 	10.00 	13.00 	20.00 	20.00 	12.00 	104 	108 	54 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
6 	13.00 	11.00 	14.00 	21.00 	22.00 	13.00 	112 	113 	59 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
7 	14.00 	13.00 	15.00 	23.00 	24.00 	13.00 	120 	124 	70 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
8 	16.00 	14.00 	16.00 	24.00 	26.00 	14.00 	128 	129 	75 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
9 	17.00 	15.00 	17.00 	26.00 	28.00 	14.00 	136 	140 	81 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
10 	19.00 	17.00 	18.00 	28.00 	30.00 	15.00 	144 	151 	92 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
11 	20.00 	18.00 	19.00 	30.00 	32.00 	15.00 	152 	162 	97 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
12 	22.00 	19.00 	20.00 	32.00 	35.00 	16.00 	160 	172 	102 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
13 	24.00 	21.00 	21.00 	34.00 	37.00 	16.00 	168 	183 	113 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
14 	25.00 	23.00 	23.00 	36.00 	40.00 	17.00 	184 	194 	124 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
15 	27.00 	24.00 	24.00 	39.00 	42.00 	17.00 	192 	210 	129 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
16 	29.00 	26.00 	25.00 	41.00 	45.00 	18.00 	200 	221 	140 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
17 	31.00 	28.00 	27.00 	43.00 	48.00 	18.00 	216 	232 	151 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
18 	33.00 	30.00 	28.00 	46.00 	50.00 	19.00 	224 	248 	162 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
19 	35.00 	31.00 	30.00 	49.00 	53.00 	19.00 	240 	264 	167 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
20 	37.00 	33.00 	32.00 	51.00 	56.00 	20.00 	256 	275 	178 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
21 	39.00 	35.00 	33.00 	54.00 	59.00 	20.00 	264 	291 	188 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
22 	42.00 	37.00 	35.00 	57.00 	63.00 	21.00 	280 	307 	199 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
23 	44.00 	39.00 	36.00 	59.00 	66.00 	21.00 	288 	318 	210 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
24 	46.00 	41.00 	38.00 	62.00 	69.00 	22.00 	304 	334 	221 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
25 	49.00 	44.00 	40.00 	65.00 	72.00 	22.00 	320 	350 	237 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
26 	51.00 	46.00 	42.00 	68.00 	76.00 	23.00 	336 	366 	248 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
27 	54.00 	48.00 	43.00 	71.00 	79.00 	23.00 	344 	382 	258 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
28 	56.00 	50.00 	45.00 	74.00 	83.00 	24.00 	360 	398 	269 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
29 	59.00 	53.00 	47.00 	77.00 	86.00 	24.00 	376 	415 	285 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
30 	61.00 	55.00 	49.00 	81.00 	90.00 	25.00 	392 	436 	296 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
31 	64.00 	57.00 	51.00 	84.00 	94.00 	25.00 	408 	452 	307 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
32 	66.00 	60.00 	53.00 	87.00 	98.00 	26.00 	424 	468 	323 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
33 	69.00 	62.00 	55.00 	90.00 	101.00 	26.00 	440 	485 	334 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
34 	72.00 	65.00 	57.00 	94.00 	105.00 	27.00 	456 	506 	350 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
35 	75.00 	67.00 	59.00 	97.00 	109.00 	27.00 	472 	522 	361 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
36 	78.00 	70.00 	61.00 	101.00 	113.00 	28.00 	488 	544 	377 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
37 	80.00 	72.00 	63.00 	104.00 	117.00 	28.00 	504 	560 	388 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
38 	83.00 	75.00 	65.00 	108.00 	121.00 	29.00 	520 	582 	404 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
39 	86.00 	77.00 	67.00 	111.00 	126.00 	29.00 	536 	598 	415 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 
40 	89.00 	80.00 	70.00 	115.00 	130.00 	30.00 	560 	619 	431 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
41 	92.00 	83.00 	72.00 	119.00 	134.00 	30.00 	576 	641 	447 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
42 	95.00 	85.00 	74.00 	123.00 	138.00 	31.00 	592 	662 	458 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
43 	98.00 	88.00 	76.00 	126.00 	143.00 	31.00 	608 	678 	474 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
44 	101.00 	91.00 	79.00 	130.00 	147.00 	32.00 	632 	700 	490 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
45 	105.00 	94.00 	81.00 	134.00 	151.00 	32.00 	648 	722 	506 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
46 	108.00 	97.00 	83.00 	138.00 	156.00 	33.00 	664 	743 	522 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
47 	111.00 	100.00 	85.00 	142.00 	160.00 	33.00 	680 	765 	538 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
48 	114.00 	102.00 	88.00 	146.00 	165.00 	34.00 	704 	786 	549 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
49 	117.00 	105.00 	90.00 	150.00 	170.00 	34.00 	720 	808 	565 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
50 	121.00 	108.00 	93.00 	154.00 	174.00 	35.00 	744 	829 	582 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
51 	124.00 	111.00 	95.00 	158.00 	179.00 	35.00 	760 	851 	598 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
52 	127.00 	114.00 	98.00 	162.00 	184.00 	36.00 	784 	872 	614 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
53 	131.00 	117.00 	100.00 	166.00 	188.00 	36.00 	800 	894 	630 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
54 	134.00 	121.00 	103.00 	171.00 	193.00 	37.00 	824 	921 	652 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
55 	138.00 	124.00 	105.00 	175.00 	198.00 	37.00 	840 	942 	668 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
56 	141.00 	127.00 	108.00 	179.00 	203.00 	38.00 	864 	964 	684 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
57 	145.00 	130.00 	110.00 	183.00 	208.00 	38.00 	880 	985 	700 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
58 	148.00 	133.00 	113.00 	188.00 	213.00 	39.00 	904 	1012 	716 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
59 	152.00 	136.00 	115.00 	192.00 	218.00 	39.00 	920 	1034 	732 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
60 	155.00 	140.00 	118.00 	197.00 	223.00 	40.00 	944 	1061 	754 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
61 	159.00 	143.00 	121.00 	201.00 	228.00 	40.00 	968 	1082 	770 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
62 	163.00 	146.00 	123.00 	206.00 	233.00 	41.00 	984 	1109 	786 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
63 	166.00 	149.00 	126.00 	210.00 	239.00 	41.00 	1008 	1131 	802 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
64 	170.00 	153.00 	129.00 	215.00 	244.00 	42.00 	1032 	1158 	824 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
65 	174.00 	156.00 	132.00 	219.00 	249.00 	42.00 	1056 	1179 	840 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
66 	178.00 	159.00 	134.00 	224.00 	255.00 	43.00 	1072 	1206 	856 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
67 	181.00 	163.00 	137.00 	229.00 	260.00 	43.00 	1096 	1233 	878 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
68 	185.00 	166.00 	140.00 	233.00 	265.00 	44.00 	1120 	1255 	894 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
69 	189.00 	170.00 	143.00 	238.00 	271.00 	44.00 	1144 	1282 	915 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
70 	193.00 	173.00 	146.00 	243.00 	276.00 	45.00 	1168 	1308 	932 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
71 	197.00 	177.00 	148.00 	248.00 	282.00 	45.00 	1184 	1335 	953 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
72 	201.00 	180.00 	151.00 	253.00 	287.00 	46.00 	1208 	1362 	969 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
73 	205.00 	184.00 	154.00 	257.00 	293.00 	46.00 	1232 	1384 	991 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
74 	209.00 	187.00 	157.00 	262.00 	298.00 	47.00 	1256 	1411 	1007 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
75 	213.00 	191.00 	160.00 	267.00 	304.00 	47.00 	1280 	1438 	1028 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
76 	217.00 	195.00 	163.00 	272.00 	310.00 	48.00 	1304 	1465 	1050 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
77 	221.00 	198.00 	166.00 	277.00 	315.00 	48.00 	1328 	1492 	1066 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
78 	225.00 	202.00 	169.00 	282.00 	321.00 	49.00 	1352 	1518 	1088 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
79 	229.00 	206.00 	172.00 	287.00 	327.00 	49.00 	1376 	1545 	1109 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
80 	233.00 	209.00 	175.00 	292.00 	333.00 	50.00 	1400 	1572 	1125 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
81 	237.00 	213.00 	178.00 	297.00 	339.00 	50.00 	1424 	1599 	1147 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
82 	241.00 	217.00 	181.00 	303.00 	345.00 	51.00 	1448 	1632 	1168 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
83 	245.00 	221.00 	184.00 	308.00 	350.00 	51.00 	1472 	1658 	1190 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
84 	250.00 	224.00 	187.00 	313.00 	356.00 	52.00 	1496 	1685 	1206 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
85 	254.00 	228.00 	190.00 	318.00 	362.00 	52.00 	1520 	1712 	1228 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
86 	258.00 	232.00 	194.00 	323.00 	368.00 	53.00 	1552 	1739 	1249 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
87 	262.00 	236.00 	197.00 	329.00 	374.00 	53.00 	1576 	1772 	1271 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
88 	267.00 	240.00 	200.00 	334.00 	381.00 	54.00 	1600 	1798 	1292 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
89 	271.00 	244.00 	203.00 	339.00 	387.00 	54.00 	1624 	1825 	1314 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
90 	275.00 	248.00 	206.00 	345.00 	393.00 	55.00 	1648 	1858 	1335 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
91 	280.00 	252.00 	209.00 	350.00 	399.00 	55.00 	1672 	1885 	1357 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
92 	284.00 	255.00 	213.00 	356.00 	405.00 	56.00 	1704 	1917 	1373 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
93 	289.00 	259.00 	216.00 	361.00 	412.00 	56.00 	1728 	1944 	1395 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
94 	293.00 	263.00 	219.00 	366.00 	418.00 	57.00 	1752 	1971 	1416 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
95 	298.00 	267.00 	222.00 	372.00 	424.00 	57.00 	1776 	2003 	1438 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
96 	302.00 	272.00 	226.00 	378.00 	430.00 	58.00 	1808 	2035 	1465 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
97 	307.00 	276.00 	229.00 	383.00 	437.00 	58.00 	1832 	2062 	1486 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
98 	311.00 	280.00 	232.00 	389.00 	443.00 	59.00 	1856 	2095 	1508 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
99 	316.00 	284.00 	236.00 	394.00 	450.00 	59.00 	1888 	2122 	1529 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
100 	320.00 	288.00 	239.00 	400.00 	456.00 	60.00 	1912 	2154 	1551 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
4																			
LV	STR	Dex	CON	WIS	INT	CHA	기본 HP	기본 MP	기본 SP	기본 AC	기본 AR	기본 DR	FIRE	WATER	EARTH	AIR	MAGIC	최소 데미지	최대 데미지
1 	18.00 	11.00 	14.00 	6.00 	7.00 	10.00 	112 	32 	59 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
2 	19.00 	12.00 	15.00 	6.00 	8.00 	11.00 	120 	32 	65 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
3 	20.00 	13.00 	16.00 	6.00 	8.00 	11.00 	128 	32 	70 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
4 	22.00 	14.00 	17.00 	7.00 	9.00 	12.00 	136 	38 	75 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
5 	24.00 	15.00 	18.00 	7.00 	9.00 	12.00 	144 	38 	81 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
6 	26.00 	16.00 	19.00 	7.00 	10.00 	13.00 	152 	38 	86 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
7 	28.00 	18.00 	20.00 	7.00 	11.00 	13.00 	160 	38 	97 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
8 	30.00 	19.00 	21.00 	8.00 	12.00 	14.00 	168 	43 	102 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
9 	33.00 	21.00 	23.00 	8.00 	13.00 	14.00 	184 	43 	113 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
10 	35.00 	22.00 	24.00 	8.00 	14.00 	15.00 	192 	43 	118 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
11 	38.00 	24.00 	26.00 	9.00 	15.00 	15.00 	208 	48 	129 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
12 	41.00 	26.00 	27.00 	9.00 	16.00 	16.00 	216 	48 	140 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
13 	44.00 	28.00 	29.00 	9.00 	17.00 	16.00 	232 	48 	151 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
14 	47.00 	30.00 	30.00 	10.00 	18.00 	17.00 	240 	54 	162 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
15 	50.00 	32.00 	32.00 	10.00 	19.00 	17.00 	256 	54 	172 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
16 	53.00 	34.00 	34.00 	11.00 	21.00 	18.00 	272 	59 	183 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 
17 	57.00 	36.00 	36.00 	11.00 	22.00 	18.00 	288 	59 	194 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
18 	60.00 	38.00 	38.00 	12.00 	23.00 	19.00 	304 	65 	205 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
19 	64.00 	40.00 	40.00 	12.00 	24.00 	19.00 	320 	65 	215 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
20 	67.00 	43.00 	42.00 	13.00 	26.00 	20.00 	336 	70 	232 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
21 	71.00 	45.00 	44.00 	13.00 	27.00 	20.00 	352 	70 	242 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
22 	75.00 	47.00 	46.00 	14.00 	29.00 	21.00 	368 	75 	253 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
23 	79.00 	50.00 	48.00 	14.00 	30.00 	21.00 	384 	75 	269 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
24 	83.00 	52.00 	50.00 	15.00 	32.00 	22.00 	400 	81 	280 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
25 	87.00 	55.00 	53.00 	15.00 	33.00 	22.00 	424 	81 	296 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
26 	91.00 	58.00 	55.00 	16.00 	35.00 	23.00 	440 	86 	312 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
27 	95.00 	60.00 	57.00 	16.00 	36.00 	23.00 	456 	86 	323 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
28 	99.00 	63.00 	60.00 	17.00 	38.00 	24.00 	480 	92 	339 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
29 	104.00 	66.00 	62.00 	17.00 	39.00 	24.00 	496 	92 	355 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
30 	108.00 	68.00 	64.00 	18.00 	41.00 	25.00 	512 	97 	366 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
31 	113.00 	71.00 	67.00 	18.00 	43.00 	25.00 	536 	97 	382 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
32 	117.00 	74.00 	69.00 	19.00 	45.00 	26.00 	552 	102 	398 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
33 	122.00 	77.00 	72.00 	20.00 	46.00 	26.00 	576 	108 	415 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
34 	127.00 	80.00 	75.00 	20.00 	48.00 	27.00 	600 	108 	431 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
35 	131.00 	83.00 	77.00 	21.00 	50.00 	27.00 	616 	113 	447 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
36 	136.00 	86.00 	80.00 	22.00 	52.00 	28.00 	640 	118 	463 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
37 	141.00 	89.00 	83.00 	22.00 	53.00 	28.00 	664 	118 	479 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
38 	146.00 	92.00 	85.00 	23.00 	55.00 	29.00 	680 	124 	495 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
39 	151.00 	96.00 	88.00 	23.00 	57.00 	29.00 	704 	124 	517 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
40 	156.00 	99.00 	91.00 	24.00 	59.00 	30.00 	728 	129 	533 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
41 	161.00 	102.00 	94.00 	25.00 	61.00 	30.00 	752 	135 	549 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
42 	167.00 	105.00 	97.00 	25.00 	63.00 	31.00 	776 	135 	565 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
43 	172.00 	109.00 	100.00 	26.00 	65.00 	31.00 	800 	140 	587 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
44 	177.00 	112.00 	103.00 	27.00 	67.00 	32.00 	824 	145 	603 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
45 	183.00 	115.00 	106.00 	28.00 	69.00 	32.00 	848 	151 	619 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
46 	188.00 	119.00 	109.00 	28.00 	71.00 	33.00 	872 	151 	641 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
47 	194.00 	122.00 	112.00 	29.00 	73.00 	33.00 	896 	156 	657 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
48 	199.00 	126.00 	115.00 	30.00 	75.00 	34.00 	920 	162 	678 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
49 	205.00 	129.00 	118.00 	30.00 	77.00 	34.00 	944 	162 	695 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
50 	210.00 	133.00 	121.00 	31.00 	79.00 	35.00 	968 	167 	716 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
51 	216.00 	136.00 	124.00 	32.00 	81.00 	35.00 	992 	172 	732 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
52 	222.00 	140.00 	127.00 	33.00 	84.00 	36.00 	1016 	178 	754 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
53 	228.00 	144.00 	130.00 	33.00 	86.00 	36.00 	1040 	178 	775 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
54 	234.00 	147.00 	134.00 	34.00 	88.00 	37.00 	1072 	183 	792 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
55 	239.00 	151.00 	137.00 	35.00 	90.00 	37.00 	1096 	188 	813 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
56 	245.00 	155.00 	140.00 	36.00 	92.00 	38.00 	1120 	194 	835 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
57 	251.00 	159.00 	144.00 	36.00 	95.00 	38.00 	1152 	194 	856 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
58 	257.00 	163.00 	147.00 	37.00 	97.00 	39.00 	1176 	199 	878 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
59 	264.00 	166.00 	150.00 	38.00 	99.00 	39.00 	1200 	205 	894 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
60 	270.00 	170.00 	154.00 	39.00 	102.00 	40.00 	1232 	210 	915 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
61 	276.00 	174.00 	157.00 	40.00 	104.00 	40.00 	1256 	215 	937 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 
62 	282.00 	178.00 	161.00 	41.00 	106.00 	41.00 	1288 	221 	958 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
63 	289.00 	182.00 	164.00 	41.00 	109.00 	41.00 	1312 	221 	980 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
64 	295.00 	186.00 	168.00 	42.00 	111.00 	42.00 	1344 	226 	1002 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
65 	301.00 	190.00 	171.00 	43.00 	113.00 	42.00 	1368 	232 	1023 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
66 	308.00 	194.00 	175.00 	44.00 	116.00 	43.00 	1400 	237 	1045 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
67 	314.00 	198.00 	178.00 	45.00 	118.00 	43.00 	1424 	242 	1066 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
68 	321.00 	202.00 	182.00 	46.00 	121.00 	44.00 	1456 	248 	1088 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
69 	327.00 	207.00 	186.00 	46.00 	123.00 	44.00 	1488 	248 	1115 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
70 	334.00 	211.00 	189.00 	47.00 	126.00 	45.00 	1512 	253 	1136 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
71 	341.00 	215.00 	193.00 	48.00 	128.00 	45.00 	1544 	258 	1158 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
72 	347.00 	219.00 	197.00 	49.00 	131.00 	46.00 	1576 	264 	1179 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
73 	354.00 	223.00 	200.00 	50.00 	133.00 	46.00 	1600 	269 	1201 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
74 	361.00 	228.00 	204.00 	51.00 	136.00 	47.00 	1632 	275 	1228 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 
